1	Mount	B-MOUNTAIN
1	Taranaki	I-MOUNTAIN
1	is	O
1	often	O
1	covered	O
1	in	O
1	snow	O
1	year-round	O
2	The	O
2	summit	O
2	of	O
2	Mont	B-MOUNTAIN
2	Collon	I-MOUNTAIN
2	attracts	O
2	many	O
2	climbers	O
2	each	O
2	year	O
3	Climbing	O
3	Mount	B-MOUNTAIN
3	Kosciuszko	I-MOUNTAIN
3	is	O
3	a	O
3	challenge	O
3	even	O
3	for	O
3	experienced	O
3	mountaineers	O
4	Standing	O
4	tall,	O
4	Makalu	B-MOUNTAIN
4	is	O
4	admired	O
4	for	O
4	its	O
4	natural	O
4	beauty	O
5	Reaching	O
5	the	O
5	summit	O
5	of	O
5	Mulhacen	B-MOUNTAIN
5	can	O
5	take	O
5	several	O
5	days	O
6	Mount	B-MOUNTAIN
6	Ruapehu	I-MOUNTAIN
6	is	O
6	considered	O
6	the	O
6	tallest	O
6	mountain	O
6	in	O
6	its	O
6	continent	O
7	Standing	O
7	tall,	O
7	Mount	B-MOUNTAIN
7	Giluwe	I-MOUNTAIN
7	is	O
7	admired	O
7	for	O
7	its	O
7	natural	O
7	beauty	O
8	Pico	B-MOUNTAIN
8	de	I-MOUNTAIN
8	Orizaba	I-MOUNTAIN
8	is	O
8	a	O
8	major	O
8	destination	O
8	for	O
8	adventurers	O
9	Climbing	O
9	Mount	B-MOUNTAIN
9	Daisetsu	I-MOUNTAIN
9	is	O
9	a	O
9	challenge	O
9	even	O
9	for	O
9	experienced	O
9	mountaineers	O
10	Atlas	B-MOUNTAIN
10	Mountains	I-MOUNTAIN
10	is	O
10	considered	O
10	the	O
10	tallest	O
10	mountain	O
10	in	O
10	its	O
10	continent	O
11	The	O
11	dramatic	O
11	landscape	O
11	of	O
11	Pico	B-MOUNTAIN
11	Bolivar	I-MOUNTAIN
11	draws	O
11	visitors	O
11	from	O
11	around	O
11	the	O
11	world	O
12	Jebel	B-MOUNTAIN
12	Toubkal	I-MOUNTAIN
12	has	O
12	long	O
12	been	O
12	a	O
12	symbol	O
12	of	O
12	adventure	O
12	and	O
12	exploration	O
13	Mount	B-MOUNTAIN
13	Giluwe	I-MOUNTAIN
13	has	O
13	a	O
13	unique	O
13	ecosystem	O
13	due	O
13	to	O
13	its	O
13	altitude	O
14	Local	O
14	legends	O
14	surround	O
14	the	O
14	history	O
14	of	O
14	Mount	B-MOUNTAIN
14	Kosciuszko	I-MOUNTAIN
15	The	O
15	summit	O
15	of	O
15	Zugspitze	B-MOUNTAIN
15	attracts	O
15	many	O
15	climbers	O
15	each	O
15	year	O
16	The	O
16	glaciers	O
16	around	O
16	Mount	B-MOUNTAIN
16	Haku	I-MOUNTAIN
16	are	O
16	slowly	O
16	retreating	O
17	The	O
17	base	O
17	of	O
17	Aconcagua	B-MOUNTAIN
17	stretches	O
17	across	O
17	several	O
17	regions	O
18	Mont	B-MOUNTAIN
18	Maudit	I-MOUNTAIN
18	is	O
18	the	O
18	highest	O
18	mountain	O
18	in	O
18	the	O
18	world	O
19	Mount	B-MOUNTAIN
19	Ararat	I-MOUNTAIN
19	is	O
19	a	O
19	major	O
19	destination	O
19	for	O
19	adventurers	O
20	Standing	O
20	tall,	O
20	Nanga	B-MOUNTAIN
20	Parbat	I-MOUNTAIN
20	is	O
20	admired	O
20	for	O
20	its	O
20	natural	O
20	beauty	O
21	Many	O
21	expeditions	O
21	have	O
21	been	O
21	made	O
21	to	O
21	scale	O
21	Vinson	B-MOUNTAIN
